5/7 12:54:10.345  Wait Finished -- FileData ID 1063527
5/7 12:54:10.345  Wait Started -- FileData ID 1063531
5/7 12:54:10.345  Wait Finished -- FileData ID 1063531
5/7 12:54:13.703  Wait Started -- FileData ID 131948
5/7 12:54:13.709  Wait Finished -- FileData ID 131948
5/7 12:54:13.709  Wait Started -- FileData ID 481178
5/7 12:54:13.709  Wait Finished -- FileData ID 481178
5/7 12:54:13.709  Wait Started -- FileData ID 1063499
5/7 12:54:13.709  Wait Finished -- FileData ID 1063499
5/7 12:54:13.709  Wait Started -- FileData ID 644000
5/7 12:54:13.709  Wait Finished -- FileData ID 644000
5/7 12:54:13.709  Wait Started -- FileData ID 1063500
5/7 12:54:13.709  Wait Finished -- FileData ID 1063500
5/7 12:54:13.709  Wait Started -- FileData ID 1063502
5/7 12:54:13.709  Wait Finished -- FileData ID 1063502
5/7 12:54:13.709  Wait Started -- FileData ID 1063503
5/7 12:54:13.709  Wait Finished -- FileData ID 1063503
5/7 12:54:13.709  Wait Started -- FileData ID 1063504
5/7 12:54:13.709  Wait Finished -- FileData ID 1063504
5/7 12:54:13.709  Wait Started -- FileData ID 1063505
5/7 12:54:13.722  Wait Finished -- FileData ID 1063505
5/7 12:54:13.722  Wait Started -- FileData ID 1063506
5/7 12:54:13.722  Wait Finished -- FileData ID 1063506
5/7 12:54:13.722  Wait Started -- FileData ID 1063507
5/7 12:54:13.722  Wait Finished -- FileData ID 1063507
5/7 12:54:13.722  Wait Started -- FileData ID 1063508
5/7 12:54:13.722  Wait Finished -- FileData ID 1063508
5/7 12:54:13.722  Wait Started -- FileData ID 605378
5/7 12:54:13.722  Wait Finished -- FileData ID 605378
5/7 12:54:13.722  Wait Started -- FileData ID 605373
5/7 12:54:13.722  Wait Finished -- FileData ID 605373
5/7 12:54:13.722  Wait Started -- FileData ID 605374
5/7 12:54:13.722  Wait Finished -- FileData ID 605374
5/7 12:54:13.722  Wait Started -- FileData ID 605377
5/7 12:54:13.722  Wait Finished -- FileData ID 605377
5/7 12:54:13.722  Wait Started -- FileData ID 605376
5/7 12:54:13.722  Wait Finished -- FileData ID 605376
5/7 12:54:13.722  Wait Started -- FileData ID 605375
5/7 12:54:13.722  Wait Finished -- FileData ID 605375
5/7 12:54:15.798  Wait Started -- FileData ID 131993
5/7 12:54:15.799  Wait Finished -- FileData ID 131993
5/7 12:54:15.799  Wait Started -- FileData ID 481194
5/7 12:54:15.799  Wait Finished -- FileData ID 481194
5/7 12:54:15.799  Wait Started -- FileData ID 131987
5/7 12:54:15.799  Wait Finished -- FileData ID 131987
5/7 12:54:15.799  Wait Started -- FileData ID 1093181
5/7 12:54:15.799  Wait Finished -- FileData ID 1093181
5/7 12:54:15.799  Wait Started -- FileData ID 1510484
